"","total","expected","hits","Raw p","Holm p","FDR"
"Fructose and mannose metabolism",20,0.026,1,0.0258,1,1
"Galactose metabolism",27,0.0351,1,0.0348,1,1
"Fatty acid biosynthesis",47,0.0611,1,0.0602,1,1
